HOME;AWAY;HOME_SCORE;AWAY_SCORE;2
Midtjylland;Lyngby;1;0
OB;Nordsjælland;1;1
FC Copenhagen;Brøndby;1;2
Randers;AGF;1;1
Vejle;SønderjyskE;4;1
AaB;Horsens;1;0
